Company Name,Financial stability,Claims processing time,Customer service reputation,Premium cost,Deductibles,Network of providers
State Farm,D,11,Good,123,496,Selected states
USAA,A,9,Excellent,89,419,Selected states
Progressive,B,14,Poor,113,437,Regional
State Farm,E,8,Good,85,719,Regional
Allstate,E,11,Average,58,736,Selected states
Allstate,D,8,Average,130,768,Regional
USAA,D,12,Average,96,315,Selected states
State Farm,A,9,Average,77,412,Nationwide
USAA,A,5,Average,113,535,Regional
Progressive,B,9,Poor,79,766,Regional
Progressive,E,9,Poor,113,742,Regional
USAA,D,9,Good,145,391,Nationwide
Progressive,A,8,Excellent,68,339,Selected states
Geico,A,12,Excellent,149,567,Selected states
Geico,D,15,Average,108,507,Nationwide
Progressive,E,6,Excellent,98,200,Selected states
Progressive,B,9,Average,66,521,Selected states
Progressive,C,15,Poor,137,673,Nationwide
USAA,D,6,Average,139,781,Regional
State Farm,E,6,Average,83,617,Nationwide
USAA,E,7,Excellent,125,479,Regional
USAA,B,5,Average,137,420,Nationwide
USAA,E,12,Good,94,629,Nationwide
State Farm,E,11,Poor,134,798,Nationwide
Geico,B,5,Good,133,273,Nationwide
Allstate,D,9,Excellent,75,240,Selected states
Geico,B,6,Average,87,421,Selected states
Progressive,B,7,Average,62,576,Regional
State Farm,B,15,Excellent,97,607,Nationwide
State Farm,B,7,Poor,140,693,Nationwide
Allstate,E,11,Good,146,797,Nationwide
USAA,C,15,Poor,144,793,Regional
State Farm,B,12,Poor,149,466,Nationwide
USAA,E,5,Excellent,115,385,Nationwide
Progressive,E,7,Average,86,627,Regional
USAA,E,7,Poor,77,387,Regional
Geico,A,8,Excellent,128,292,Selected states
Progressive,D,13,Average,60,769,Selected states
USAA,E,8,Good,70,430,Regional
Allstate,C,13,Average,117,663,Nationwide
State Farm,D,5,Poor,101,628,Nationwide
State Farm,E,13,Poor,142,457,Nationwide
USAA,A,9,Average,96,405,Regional
Progressive,B,13,Average,115,308,Nationwide
Geico,C,8,Good,129,717,Regional
Progressive,E,6,Good,132,327,Regional
Progressive,E,15,Excellent,59,379,Nationwide
State Farm,B,9,Good,88,614,Nationwide
State Farm,D,7,Poor,94,447,Selected states
State Farm,B,11,Poor,76,320,Nationwide
Progressive,B,15,Excellent,103,310,Regional
Progressive,B,6,Good,118,249,Selected states
Allstate,D,7,Poor,100,519,Selected states
Progressive,A,7,Good,100,326,Nationwide
Geico,A,14,Average,147,719,Regional
Progressive,B,14,Average,138,757,Regional
Progressive,D,10,Good,74,603,Selected states
USAA,E,14,Poor,124,303,Selected states
Geico,B,9,Poor,56,470,Selected states
Allstate,B,14,Poor,147,521,Regional
Allstate,D,15,Excellent,71,344,Regional
State Farm,B,6,Excellent,100,215,Regional
Geico,B,7,Average,64,592,Selected states
USAA,A,11,Poor,106,345,Selected states
USAA,C,14,Poor,76,355,Regional
USAA,C,14,Excellent,71,543,Regional
State Farm,C,13,Excellent,87,567,Nationwide
State Farm,B,7,Average,148,320,Regional
Progressive,B,6,Excellent,143,721,Nationwide
State Farm,A,12,Good,131,359,Selected states
State Farm,B,15,Average,144,510,Regional
Progressive,A,15,Good,58,525,Selected states
Progressive,E,10,Poor,80,549,Regional
Progressive,C,5,Average,119,399,Regional
State Farm,C,5,Poor,55,788,Regional
State Farm,A,14,Poor,116,292,Nationwide
Geico,B,14,Good,125,515,Selected states
USAA,E,10,Excellent,60,308,Regional
Geico,A,11,Poor,62,309,Selected states
Allstate,A,10,Good,83,488,Selected states
State Farm,C,10,Good,88,489,Regional
Allstate,B,14,Poor,97,511,Selected states
USAA,D,11,Excellent,124,768,Selected states
State Farm,E,7,Good,68,644,Selected states
Allstate,C,14,Good,148,239,Selected states
Geico,C,15,Good,149,650,Selected states
Allstate,B,15,Poor,50,547,Regional
Progressive,B,11,Excellent,81,486,Nationwide
State Farm,B,13,Average,100,547,Nationwide
Progressive,E,10,Poor,86,481,Nationwide
State Farm,E,13,Good,50,571,Selected states
State Farm,B,5,Good,102,578,Regional
Allstate,D,6,Good,107,291,Nationwide
Geico,D,7,Good,72,590,Selected states
USAA,D,11,Excellent,115,701,Nationwide
USAA,C,9,Poor,138,483,Selected states
USAA,B,7,Excellent,142,412,Selected states
Progressive,B,6,Excellent,90,680,Nationwide
Geico,B,7,Average,60,469,Nationwide
USAA,B,11,Average,140,455,Regional
State Farm,A,14,Average,142,626,Selected states
USAA,E,14,Average,133,338,Selected states
State Farm,B,11,Average,113,398,Nationwide
Allstate,D,9,Excellent,87,528,Nationwide
State Farm,B,5,Poor,57,569,Selected states
USAA,E,10,Average,133,424,Nationwide
Geico,D,15,Excellent,150,639,Regional
USAA,B,10,Good,117,609,Regional
Progressive,D,14,Average,76,781,Nationwide
Allstate,E,11,Average,122,645,Regional
Progressive,D,6,Poor,109,375,Selected states
USAA,D,8,Poor,85,661,Selected states
State Farm,D,11,Average,66,717,Selected states
Geico,B,14,Excellent,59,562,Selected states
USAA,C,5,Excellent,88,331,Nationwide
Allstate,A,15,Average,94,552,Selected states
Progressive,E,15,Excellent,61,578,Selected states
Progressive,D,15,Average,77,755,Regional
Allstate,C,10,Excellent,122,703,Nationwide
Allstate,A,10,Excellent,101,236,Regional
Geico,A,15,Excellent,69,777,Selected states
USAA,A,9,Poor,64,761,Regional
USAA,D,6,Poor,113,331,Selected states
Allstate,D,14,Excellent,50,521,Regional
Progressive,D,5,Poor,60,728,Regional
USAA,E,14,Excellent,99,342,Nationwide
Progressive,C,5,Excellent,126,421,Selected states
USAA,B,11,Good,110,630,Regional
Geico,C,5,Good,113,554,Nationwide
Allstate,B,14,Poor,51,496,Selected states
USAA,E,11,Good,62,251,Nationwide
Geico,C,11,Average,150,312,Selected states
Geico,C,15,Average,119,419,Selected states
Geico,B,14,Excellent,114,206,Nationwide
USAA,E,12,Excellent,92,447,Nationwide
State Farm,B,15,Average,127,749,Regional
Allstate,D,8,Good,98,544,Regional
Progressive,B,7,Good,109,395,Regional
Allstate,E,8,Average,79,456,Selected states
State Farm,B,5,Excellent,125,320,Regional
Allstate,B,13,Good,55,523,Regional
USAA,D,8,Excellent,142,772,Nationwide
Geico,D,12,Good,84,764,Regional
Progressive,C,10,Average,126,523,Selected states
State Farm,C,6,Poor,51,435,Nationwide
State Farm,D,14,Poor,94,332,Nationwide
Progressive,A,12,Average,67,704,Regional
Allstate,D,8,Good,53,536,Selected states
Allstate,C,9,Poor,108,228,Regional
USAA,D,10,Good,112,607,Selected states
Progressive,C,7,Good,87,564,Regional
Geico,C,6,Excellent,122,403,Selected states
USAA,D,11,Good,118,591,Selected states
Geico,B,8,Excellent,54,535,Selected states
State Farm,C,13,Poor,55,577,Selected states
State Farm,A,6,Average,69,242,Selected states
Progressive,E,8,Poor,148,654,Regional
USAA,C,13,Average,75,549,Nationwide
USAA,D,11,Average,148,666,Regional
Progressive,D,10,Good,84,676,Nationwide
USAA,B,5,Average,101,765,Regional
State Farm,D,10,Good,116,223,Regional
USAA,E,9,Average,115,517,Regional
Allstate,E,10,Average,141,516,Nationwide
Allstate,D,13,Poor,135,226,Selected states
State Farm,C,12,Average,102,715,Nationwide
Geico,A,5,Average,84,352,Selected states
USAA,B,5,Good,62,235,Regional
Allstate,A,14,Excellent,84,294,Nationwide
State Farm,A,14,Average,143,662,Nationwide
Progressive,A,5,Poor,87,694,Nationwide
State Farm,B,10,Average,79,652,Regional
State Farm,C,13,Good,128,664,Regional
State Farm,D,8,Poor,136,285,Regional
Progressive,B,11,Good,50,280,Selected states
USAA,C,14,Good,108,723,Regional
USAA,B,5,Good,92,575,Selected states
USAA,C,12,Good,109,475,Regional
Progressive,D,8,Average,74,736,Regional
Progressive,C,7,Average,82,598,Nationwide
USAA,B,9,Excellent,93,201,Regional
State Farm,A,15,Poor,120,513,Regional
Geico,E,9,Poor,50,378,Selected states
Geico,B,5,Good,93,532,Regional
State Farm,B,6,Good,83,218,Selected states
State Farm,E,5,Average,125,718,Nationwide
Allstate,A,8,Average,135,718,Nationwide
Progressive,A,15,Excellent,53,275,Selected states
Allstate,D,10,Average,150,432,Selected states
Allstate,B,9,Poor,120,335,Nationwide
Geico,B,5,Good,125,564,Regional
Geico,C,9,Poor,93,439,Nationwide
State Farm,C,9,Good,66,332,Nationwide
State Farm,E,6,Excellent,119,706,Nationwide
State Farm,D,6,Excellent,62,626,Nationwide
Geico,A,8,Average,146,662,Regional
State Farm,B,11,Excellent,88,494,Selected states
USAA,E,8,Good,100,745,Nationwide
Allstate,D,7,Average,120,338,Nationwide
Progressive,C,6,Poor,128,724,Regional
USAA,D,11,Good,122,594,Nationwide
Allstate,A,7,Good,95,529,Selected states
State Farm,E,11,Excellent,118,220,Regional
State Farm,D,8,Good,107,556,Regional
Geico,B,14,Excellent,119,671,Regional
Geico,B,6,Good,97,710,Nationwide
State Farm,A,13,Good,103,463,Selected states
Geico,C,11,Poor,145,203,Regional
Progressive,A,12,Excellent,113,572,Regional
Allstate,E,10,Average,112,531,Regional
State Farm,D,5,Average,59,616,Regional
Allstate,E,12,Good,78,388,Nationwide
USAA,A,5,Poor,138,368,Selected states
Allstate,B,6,Excellent,106,615,Regional
USAA,E,6,Average,102,769,Nationwide
Progressive,A,5,Poor,112,302,Nationwide
Geico,B,9,Excellent,128,271,Regional
USAA,E,14,Excellent,149,660,Selected states
Allstate,A,12,Poor,71,487,Nationwide
State Farm,A,8,Excellent,100,630,Selected states
Progressive,A,9,Poor,82,230,Regional
Allstate,C,8,Excellent,132,543,Nationwide
USAA,B,15,Average,126,315,Selected states
Progressive,A,8,Good,90,411,Selected states
Geico,B,7,Excellent,94,307,Nationwide
State Farm,D,13,Poor,117,281,Nationwide
State Farm,C,11,Good,98,268,Selected states
Progressive,B,14,Good,127,682,Selected states
Allstate,E,9,Poor,108,339,Nationwide
State Farm,A,8,Good,130,512,Nationwide
Geico,A,10,Good,130,518,Selected states
Progressive,E,14,Excellent,62,638,Regional
Progressive,C,7,Excellent,120,605,Selected states
State Farm,D,15,Excellent,57,352,Selected states
Geico,D,6,Average,50,681,Nationwide
State Farm,A,13,Average,51,755,Nationwide
Allstate,D,10,Good,83,781,Selected states
Geico,C,10,Good,150,798,Nationwide
Geico,D,6,Good,133,452,Selected states
Progressive,C,11,Poor,64,302,Nationwide
State Farm,D,6,Excellent,124,382,Selected states
State Farm,C,14,Good,64,424,Selected states
State Farm,D,11,Good,140,792,Regional
USAA,C,12,Excellent,83,681,Regional
Allstate,A,6,Average,117,402,Regional
State Farm,E,9,Poor,122,677,Nationwide
Progressive,A,11,Poor,139,552,Regional
USAA,E,13,Good,141,507,Selected states
USAA,B,15,Average,77,776,Selected states
USAA,A,11,Average,85,704,Regional
Geico,A,6,Poor,118,234,Selected states
Progressive,D,7,Good,53,407,Selected states
Geico,E,12,Excellent,99,423,Regional
State Farm,B,7,Good,62,463,Regional
Geico,B,7,Good,113,358,Nationwide
Geico,C,15,Poor,52,718,Selected states
Geico,A,5,Excellent,67,255,Selected states
State Farm,E,6,Average,125,499,Selected states
Progressive,A,11,Excellent,133,280,Nationwide
Allstate,A,12,Poor,102,296,Regional
USAA,A,13,Good,131,672,Nationwide
Progressive,E,6,Average,123,529,Nationwide
State Farm,B,13,Excellent,105,404,Nationwide
USAA,B,7,Excellent,129,750,Nationwide
Progressive,C,8,Average,59,503,Nationwide
Allstate,E,15,Excellent,112,640,Regional
USAA,D,9,Average,86,324,Nationwide
State Farm,B,6,Good,99,691,Nationwide
USAA,C,6,Poor,105,746,Nationwide
USAA,B,12,Good,96,785,Nationwide
Geico,D,6,Average,79,588,Regional
Progressive,A,7,Average,107,623,Nationwide
Progressive,A,6,Good,140,759,Selected states
State Farm,C,7,Excellent,62,644,Selected states
Geico,B,7,Poor,56,232,Regional
Allstate,A,6,Good,73,488,Selected states
USAA,D,11,Good,113,263,Selected states
State Farm,E,11,Poor,141,284,Nationwide
Geico,B,6,Excellent,143,408,Selected states
State Farm,E,14,Average,147,337,Nationwide
State Farm,A,15,Average,73,407,Regional
Geico,C,11,Good,87,338,Nationwide
USAA,D,7,Poor,96,574,Selected states
State Farm,E,9,Excellent,118,540,Nationwide
Progressive,A,5,Average,107,209,Selected states
State Farm,C,7,Average,120,241,Nationwide
State Farm,A,9,Excellent,67,763,Selected states
Geico,B,6,Excellent,110,526,Regional
Allstate,E,8,Poor,58,722,Nationwide
Geico,C,5,Poor,131,444,Selected states
USAA,A,12,Average,93,249,Regional
USAA,B,7,Average,58,367,Selected states
Progressive,B,14,Poor,111,340,Regional
USAA,B,12,Poor,138,685,Nationwide
Allstate,A,12,Average,119,759,Regional
Geico,D,14,Poor,122,479,Nationwide
Geico,A,8,Good,98,788,Selected states
Allstate,C,9,Excellent,57,338,Selected states
Progressive,B,14,Poor,126,518,Nationwide
Allstate,C,12,Good,79,354,Nationwide
USAA,E,14,Good,91,412,Selected states
Allstate,E,6,Poor,139,376,Selected states
Geico,B,13,Good,124,304,Regional
State Farm,D,7,Average,84,509,Nationwide
USAA,C,5,Poor,149,716,Regional
USAA,D,7,Average,86,754,Regional
Allstate,D,6,Good,62,483,Nationwide
USAA,C,12,Excellent,116,611,Selected states
USAA,A,5,Poor,75,765,Regional
State Farm,A,7,Good,62,308,Nationwide
USAA,B,10,Average,99,463,Regional
Allstate,A,12,Average,110,275,Selected states
State Farm,D,12,Excellent,52,776,Nationwide
Progressive,D,6,Poor,86,433,Regional
USAA,A,5,Average,118,454,Regional
State Farm,D,6,Excellent,108,274,Nationwide
USAA,B,6,Good,118,610,Selected states
Progressive,C,11,Average,73,762,Selected states
Progressive,A,12,Excellent,128,376,Nationwide
State Farm,E,6,Good,135,485,Nationwide
Geico,C,13,Average,148,317,Selected states
Progressive,A,8,Poor,60,496,Regional
USAA,B,13,Average,136,737,Selected states
USAA,C,8,Good,104,456,Regional
USAA,C,5,Good,79,683,Regional
USAA,E,15,Poor,62,697,Selected states
Geico,C,7,Good,109,277,Selected states
USAA,D,14,Average,108,212,Selected states
USAA,C,14,Excellent,118,329,Selected states
USAA,C,13,Good,78,601,Regional
Allstate,A,7,Excellent,112,343,Selected states
Geico,B,6,Average,57,520,Selected states
State Farm,D,10,Poor,62,476,Selected states
Allstate,A,7,Good,115,688,Regional
Allstate,E,15,Average,129,651,Selected states
USAA,A,13,Good,74,745,Selected states
Geico,D,11,Poor,114,612,Selected states
Progressive,C,15,Average,131,239,Nationwide
State Farm,C,9,Average,56,408,Selected states
Allstate,C,8,Average,119,394,Regional
State Farm,A,10,Average,106,563,Regional
Allstate,A,8,Poor,150,732,Regional
State Farm,B,11,Average,78,432,Nationwide
USAA,D,15,Excellent,85,236,Selected states
Progressive,B,7,Average,124,460,Selected states
Allstate,A,14,Excellent,73,202,Nationwide
USAA,D,7,Average,91,459,Selected states
Progressive,D,14,Average,100,569,Selected states
USAA,D,7,Good,50,737,Regional
Geico,C,8,Excellent,74,308,Nationwide
USAA,B,9,Good,141,496,Nationwide
Allstate,A,10,Poor,145,290,Regional
USAA,C,11,Excellent,111,607,Regional
Progressive,D,15,Average,75,359,Nationwide
USAA,E,7,Poor,89,449,Regional
State Farm,C,15,Average,53,765,Selected states
Allstate,A,10,Poor,59,319,Nationwide
Geico,A,8,Poor,124,471,Regional
Geico,B,6,Excellent,149,446,Selected states
Allstate,C,13,Poor,141,222,Selected states
Geico,B,11,Good,52,501,Selected states
Geico,C,9,Good,72,346,Selected states
Geico,A,14,Excellent,55,273,Selected states
Allstate,C,12,Average,79,404,Nationwide
USAA,D,12,Excellent,71,298,Nationwide
Geico,B,5,Good,103,661,Nationwide
Progressive,E,14,Average,121,365,Selected states
Geico,A,14,Average,66,669,Nationwide
Progressive,C,7,Excellent,107,617,Regional
USAA,A,9,Average,90,788,Selected states
USAA,B,12,Poor,72,302,Nationwide
USAA,B,14,Poor,51,612,Regional
Progressive,E,15,Poor,62,408,Selected states
Geico,A,13,Excellent,149,380,Nationwide
State Farm,D,9,Poor,112,425,Selected states
Progressive,B,10,Good,147,426,Regional
Progressive,C,10,Excellent,81,772,Selected states
Progressive,C,5,Average,81,392,Regional
USAA,E,6,Excellent,113,671,Nationwide
State Farm,C,13,Average,135,273,Selected states
Allstate,B,13,Good,62,701,Selected states
Progressive,C,9,Good,150,558,Selected states
Geico,B,13,Poor,68,461,Nationwide
State Farm,C,5,Excellent,85,786,Nationwide
Progressive,A,14,Excellent,129,216,Selected states
USAA,C,13,Poor,112,351,Selected states
USAA,D,8,Poor,110,459,Regional
Allstate,B,14,Poor,96,528,Nationwide
Allstate,E,10,Poor,58,411,Regional
State Farm,C,12,Average,147,682,Regional
State Farm,C,5,Good,127,473,Nationwide
USAA,A,12,Average,117,362,Regional
Progressive,E,8,Poor,105,395,Nationwide
Progressive,B,12,Excellent,73,687,Nationwide
Progressive,E,13,Average,65,774,Regional
Progressive,A,14,Excellent,124,660,Regional
Progressive,C,7,Good,57,346,Nationwide
Progressive,A,11,Average,118,475,Regional
State Farm,B,9,Excellent,115,667,Nationwide
Allstate,D,14,Average,52,714,Nationwide
USAA,C,10,Excellent,132,713,Regional
State Farm,C,11,Excellent,59,219,Selected states
Geico,D,13,Average,144,505,Selected states
USAA,A,13,Poor,140,645,Selected states
State Farm,B,12,Excellent,72,778,Nationwide
State Farm,E,15,Excellent,93,216,Nationwide
Progressive,B,5,Excellent,70,704,Selected states
Allstate,C,15,Excellent,134,687,Regional
USAA,A,12,Average,90,420,Nationwide
Geico,D,9,Good,140,730,Regional
State Farm,B,15,Average,102,651,Regional
USAA,E,13,Good,150,417,Regional
State Farm,B,11,Poor,120,291,Selected states
State Farm,D,5,Poor,147,406,Regional
USAA,E,7,Poor,123,201,Selected states
Geico,B,9,Excellent,59,744,Regional
Geico,D,9,Poor,95,661,Nationwide
State Farm,E,5,Poor,81,534,Nationwide
Progressive,C,11,Average,145,500,Selected states
Geico,E,7,Poor,88,291,Regional
Progressive,A,15,Average,141,593,Selected states
Allstate,E,9,Excellent,137,577,Selected states
Geico,B,5,Poor,53,439,Selected states
Allstate,A,11,Excellent,134,423,Nationwide
Allstate,C,10,Good,69,550,Regional
Progressive,D,9,Good,102,284,Regional
USAA,C,13,Good,91,625,Regional
Allstate,C,5,Poor,79,693,Regional
Allstate,D,8,Good,64,260,Regional
Geico,E,6,Good,111,687,Regional
USAA,C,6,Excellent,111,537,Nationwide
USAA,D,13,Good,133,317,Selected states
State Farm,A,10,Average,145,344,Regional
USAA,B,5,Good,147,343,Selected states
Allstate,A,10,Good,72,431,Nationwide
Progressive,E,15,Excellent,89,355,Regional
Allstate,E,7,Good,137,775,Nationwide
Geico,A,7,Good,117,464,Nationwide
State Farm,D,12,Excellent,83,666,Regional
State Farm,E,10,Poor,68,574,Selected states
Progressive,E,15,Poor,61,781,Nationwide
Geico,D,11,Excellent,112,621,Nationwide
Progressive,D,11,Good,112,506,Selected states
State Farm,A,5,Average,134,600,Regional
Geico,E,13,Average,100,269,Selected states
Progressive,D,14,Poor,124,608,Selected states
USAA,A,12,Average,92,652,Nationwide
Geico,D,11,Excellent,129,751,Nationwide
Progressive,A,7,Excellent,61,647,Regional
State Farm,B,8,Good,108,793,Selected states
State Farm,D,13,Average,76,202,Regional
Allstate,C,6,Good,83,742,Selected states
State Farm,B,7,Good,93,399,Regional
State Farm,C,10,Excellent,138,353,Regional
State Farm,C,5,Average,86,680,Regional
USAA,C,14,Excellent,98,353,Nationwide
Progressive,C,6,Good,124,450,Nationwide
Geico,A,8,Excellent,81,596,Nationwide
USAA,A,6,Good,77,288,Regional
USAA,E,12,Excellent,77,441,Regional
Geico,C,7,Good,71,737,Selected states
State Farm,B,8,Poor,148,352,Nationwide
Progressive,B,11,Excellent,140,566,Nationwide
USAA,C,9,Poor,108,469,Regional
State Farm,A,10,Average,56,545,Regional
Progressive,E,12,Poor,74,676,Nationwide
USAA,A,15,Average,124,442,Nationwide
State Farm,E,8,Poor,54,523,Nationwide
State Farm,D,5,Good,148,356,Regional
Progressive,B,9,Good,77,285,Selected states
State Farm,B,7,Average,139,435,Regional
State Farm,C,8,Good,97,294,Regional
Allstate,D,9,Good,68,549,Selected states
State Farm,B,15,Average,123,400,Nationwide
State Farm,E,11,Poor,99,377,Regional
Progressive,E,5,Average,77,323,Nationwide
USAA,E,11,Excellent,86,769,Regional
Geico,C,5,Average,127,515,Selected states
Allstate,E,6,Average,145,320,Selected states
Geico,B,8,Poor,63,378,Regional
USAA,E,13,Excellent,141,374,Selected states
USAA,C,13,Excellent,80,686,Nationwide
Allstate,A,14,Poor,104,572,Selected states
Progressive,A,6,Poor,147,765,Selected states
State Farm,C,10,Average,105,505,Selected states
State Farm,B,10,Good,65,206,Regional
USAA,E,6,Average,91,768,Selected states
USAA,B,7,Poor,92,317,Selected states
USAA,C,11,Excellent,99,593,Nationwide
USAA,D,8,Poor,106,638,Regional
Allstate,B,10,Poor,111,759,Nationwide
Geico,A,6,Average,149,436,Nationwide
Progressive,A,11,Poor,65,544,Selected states
Geico,E,10,Excellent,53,206,Selected states
Allstate,E,10,Good,95,414,Selected states
USAA,D,9,Excellent,108,646,Selected states
Geico,A,13,Excellent,121,279,Regional
State Farm,E,11,Average,135,602,Regional
State Farm,E,6,Good,82,250,Selected states
Progressive,E,6,Poor,120,460,Nationwide
Geico,C,15,Average,68,632,Selected states
State Farm,D,5,Poor,139,773,Regional
Progressive,D,8,Good,133,398,Regional
Progressive,C,15,Good,102,211,Regional
Progressive,C,10,Average,74,780,Regional
State Farm,B,6,Poor,123,543,Selected states
Geico,B,11,Poor,81,527,Selected states
State Farm,B,11,Good,131,376,Selected states
USAA,D,11,Excellent,76,252,Nationwide
State Farm,E,14,Good,90,320,Regional
State Farm,C,14,Good,150,674,Regional
Geico,C,10,Excellent,65,708,Selected states
Progressive,E,8,Excellent,138,693,Regional
Allstate,C,11,Good,55,570,Nationwide
State Farm,B,9,Poor,84,494,Selected states
State Farm,D,12,Good,103,531,Selected states
USAA,E,14,Average,127,754,Nationwide
USAA,B,15,Excellent,134,800,Nationwide
Geico,B,11,Excellent,93,627,Nationwide
Geico,B,13,Average,135,475,Regional
USAA,E,15,Excellent,112,706,Selected states
Allstate,B,9,Poor,90,268,Nationwide
Geico,C,9,Excellent,88,696,Selected states
Allstate,E,7,Poor,106,547,Regional
Geico,B,12,Good,128,485,Regional
Geico,B,5,Poor,68,309,Regional
Geico,C,11,Average,70,707,Regional
Progressive,C,5,Excellent,97,486,Selected states
Allstate,E,5,Excellent,109,219,Selected states
USAA,C,14,Excellent,129,732,Nationwide
Progressive,B,9,Average,68,546,Nationwide
Progressive,C,6,Average,139,740,Selected states
Allstate,A,14,Poor,55,302,Selected states
Geico,D,6,Poor,57,422,Regional
State Farm,E,13,Average,94,703,Nationwide
USAA,D,12,Excellent,103,322,Regional
USAA,D,11,Good,63,510,Nationwide
USAA,C,13,Good,116,277,Nationwide
Geico,D,6,Poor,105,287,Selected states
State Farm,C,15,Excellent,141,291,Regional
USAA,B,12,Poor,50,562,Regional
USAA,B,9,Poor,114,727,Selected states
Allstate,E,8,Excellent,106,562,Selected states
State Farm,E,8,Good,118,430,Nationwide
Progressive,B,8,Excellent,104,681,Selected states
State Farm,A,5,Good,58,385,Regional
Geico,A,13,Average,102,263,Selected states
USAA,A,14,Average,60,707,Nationwide
USAA,E,7,Good,108,720,Regional
Allstate,D,10,Excellent,84,523,Regional
State Farm,D,7,Poor,112,561,Selected states
State Farm,E,15,Poor,93,572,Nationwide
Allstate,D,13,Average,64,317,Regional
State Farm,D,12,Poor,56,738,Regional
Progressive,E,13,Poor,93,255,Nationwide
Geico,C,6,Excellent,74,359,Regional
State Farm,B,9,Good,123,370,Regional
Progressive,B,11,Good,133,464,Regional
State Farm,E,13,Poor,141,548,Regional
Allstate,B,9,Average,119,613,Regional
State Farm,B,14,Average,87,483,Selected states
State Farm,B,5,Poor,118,237,Nationwide
State Farm,D,14,Average,76,713,Regional
Allstate,B,5,Poor,117,439,Regional
USAA,E,15,Good,125,767,Regional
Progressive,C,9,Poor,85,736,Selected states
Allstate,A,5,Good,138,687,Nationwide
Geico,C,6,Good,124,751,Regional
State Farm,B,6,Poor,75,715,Nationwide
Allstate,A,13,Excellent,67,559,Regional
Progressive,B,6,Poor,141,591,Regional
State Farm,D,9,Excellent,150,662,Regional
Geico,A,12,Good,138,380,Selected states
Allstate,D,10,Average,62,346,Regional
Geico,E,8,Good,147,579,Regional
Progressive,D,11,Good,54,359,Selected states
Progressive,C,8,Average,74,338,Nationwide
Progressive,B,15,Average,146,472,Selected states
State Farm,A,9,Excellent,126,426,Regional
State Farm,E,6,Average,82,257,Selected states
Geico,E,6,Average,84,685,Regional
Progressive,C,12,Average,131,791,Selected states
Allstate,A,11,Average,126,394,Regional
Allstate,A,5,Excellent,94,489,Regional
Progressive,D,15,Average,75,587,Selected states
State Farm,A,14,Poor,125,647,Regional
Allstate,A,13,Good,126,500,Regional
Allstate,B,7,Good,105,637,Regional
State Farm,C,9,Poor,70,371,Nationwide
USAA,B,9,Good,98,446,Nationwide
State Farm,C,6,Good,55,300,Regional
State Farm,E,11,Good,145,278,Selected states
State Farm,D,9,Average,127,615,Regional
Progressive,A,11,Poor,113,741,Nationwide
Allstate,C,10,Good,127,501,Regional
State Farm,D,12,Average,101,496,Nationwide
Allstate,A,9,Good,137,795,Nationwide
State Farm,C,6,Good,111,396,Selected states
Progressive,C,12,Poor,75,251,Nationwide
Geico,A,6,Good,73,406,Regional
Progressive,C,15,Good,111,246,Regional
Allstate,A,12,Poor,51,454,Regional
State Farm,A,9,Average,114,707,Selected states
Geico,B,8,Poor,121,594,Selected states
State Farm,D,10,Excellent,138,460,Selected states
USAA,C,13,Poor,103,474,Nationwide
Geico,B,12,Good,86,548,Regional
Progressive,B,9,Excellent,96,367,Nationwide
State Farm,D,15,Good,90,325,Selected states
State Farm,A,10,Poor,94,577,Regional
Allstate,D,8,Average,139,312,Nationwide
Progressive,E,6,Good,139,621,Regional
USAA,A,10,Poor,139,265,Regional
Allstate,D,5,Poor,51,646,Regional
State Farm,E,5,Poor,66,396,Regional
USAA,A,9,Average,99,500,Regional
State Farm,B,11,Good,72,800,Nationwide
USAA,A,9,Excellent,51,658,Regional
USAA,A,9,Excellent,131,307,Selected states
State Farm,B,11,Average,66,384,Nationwide
Geico,C,7,Average,123,375,Regional
USAA,D,8,Poor,127,596,Nationwide
Geico,B,5,Average,107,295,Nationwide
USAA,C,13,Excellent,142,362,Regional
State Farm,D,15,Good,89,528,Nationwide
Geico,B,11,Good,75,255,Regional
Geico,E,5,Poor,127,793,Nationwide
Geico,B,5,Good,143,626,Regional
Geico,C,8,Good,67,586,Regional
Allstate,B,13,Average,107,633,Selected states
Progressive,E,6,Average,142,375,Regional
Geico,C,12,Good,89,439,Regional
USAA,B,5,Excellent,135,438,Selected states
Progressive,B,6,Excellent,55,215,Selected states
State Farm,A,15,Good,91,689,Regional
Allstate,C,6,Good,101,690,Regional
Progressive,E,15,Excellent,115,257,Regional
Progressive,C,12,Excellent,86,393,Regional
Geico,B,14,Excellent,102,331,Nationwide
USAA,A,10,Good,79,382,Nationwide
USAA,A,15,Good,93,512,Selected states
Allstate,E,12,Average,108,706,Selected states
Allstate,C,5,Average,50,309,Nationwide
State Farm,E,6,Poor,141,600,Regional
Allstate,D,8,Poor,132,236,Regional
Allstate,B,12,Good,122,424,Nationwide
Progressive,C,9,Excellent,129,705,Selected states
Progressive,A,6,Good,78,232,Regional
State Farm,B,12,Excellent,117,731,Regional
USAA,D,14,Average,149,332,Regional
State Farm,E,15,Average,63,396,Selected states
Allstate,D,15,Good,149,350,Regional
Geico,D,8,Poor,107,400,Regional
Geico,E,14,Good,55,207,Regional
Allstate,A,12,Average,125,267,Regional
Allstate,D,6,Poor,89,357,Regional
USAA,E,11,Good,120,541,Nationwide
